"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 25 03:21:53 UTC 2024","Sun Feb 25 03:21:54 UTC 2024","1712","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sun Feb 25 02:44:12 UTC 2024","Sun Feb 25 02:44:20 UTC 2024","8681","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sun Feb 25 03:29:50 UTC 2024","Sun Feb 25 03:34:00 UTC 2024","250238","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sun Feb 25 02:37:32 UTC 2024","Sun Feb 25 02:37:34 UTC 2024","2569","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sun Feb 25 03:28:04 UTC 2024","Sun Feb 25 03:28:06 UTC 2024","1941","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Sun Feb 25 02:58:06 UTC 2024","Sun Feb 25 02:58:08 UTC 2024","2327","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Sun Feb 25 04:02:00 UTC 2024","Sun Feb 25 04:02:08 UTC 2024","8293","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Sun Feb 25 02:38:27 UTC 2024","Sun Feb 25 02:38:29 UTC 2024","2743","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sun Feb 25 03:54:04 UTC 2024","Sun Feb 25 03:55:06 UTC 2024","61823","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Sun Feb 25 02:34:53 UTC 2024","Sun Feb 25 02:35:13 UTC 2024","19640","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Feb 25 02:40:37 UTC 2024","Sun Feb 25 02:40:45 UTC 2024","7595","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sun Feb 25 03:27:35 UTC 2024","Sun Feb 25 03:27:37 UTC 2024","2485","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Sun Feb 25 03:38:14 UTC 2024","Sun Feb 25 03:38:20 UTC 2024","6192","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Sun Feb 25 03:36:03 UTC 2024","Sun Feb 25 03:36:19 UTC 2024","16139","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sun Feb 25 02:34:41 UTC 2024","Sun Feb 25 02:34:49 UTC 2024","8121","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Sun Feb 25 03:52:07 UTC 2024","Sun Feb 25 03:53:15 UTC 2024","68038","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Sun Feb 25 02:22:28 UTC 2024","Sun Feb 25 02:22:28 UTC 2024","40","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Sun Feb 25 03:53:25 UTC 2024","Sun Feb 25 03:54:04 UTC 2024","38614","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Sun Feb 25 03:21:24 UTC 2024","Sun Feb 25 03:21:27 UTC 2024","2576","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Feb 25 02:59:52 UTC 2024","Sun Feb 25 03:00:06 UTC 2024","13637","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sun Feb 25 02:23:50 UTC 2024","Sun Feb 25 02:24:06 UTC 2024","16542","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Sun Feb 25 02:41:17 UTC 2024","Sun Feb 25 02:41:19 UTC 2024","1611","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Feb 25 02:43:56 UTC 2024","Sun Feb 25 02:43:59 UTC 2024","2944","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sun Feb 25 03:27:26 UTC 2024","Sun Feb 25 03:27:29 UTC 2024","2691","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sun Feb 25 02:32:43 UTC 2024","Sun Feb 25 02:32:46 UTC 2024","2901","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Feb 25 04:01:45 UTC 2024","Sun Feb 25 04:01:54 UTC 2024","9644","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Sun Feb 25 02:25:55 UTC 2024","Sun Feb 25 02:26:13 UTC 2024","18786","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Sun Feb 25 03:39:57 UTC 2024","Sun Feb 25 03:40:04 UTC 2024","7071","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sun Feb 25 03:53:15 UTC 2024","Sun Feb 25 03:53:19 UTC 2024","3690","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Sun Feb 25 03:36:31 UTC 2024","Sun Feb 25 03:36:35 UTC 2024","4238","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sun Feb 25 03:37:59 UTC 2024","Sun Feb 25 03:38:14 UTC 2024","15417","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Sun Feb 25 02:58:08 UTC 2024","Sun Feb 25 02:58:08 UTC 2024","206","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sun Feb 25 02:30:20 UTC 2024","Sun Feb 25 02:30:38 UTC 2024","17920","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Feb 25 02:32:46 UTC 2024","Sun Feb 25 02:32:46 UTC 2024","419","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Feb 25 02:26:20 UTC 2024","Sun Feb 25 02:27:20 UTC 2024","60509","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
